Date,Open,High,Low,Close,Volume,Adj Close
2016-05-26,102.620003,102.75,102.07,102.269997,371000,102.269997
2016-05-25,101.650002,102.760002,101.440002,102.620003,772000,102.620003
2016-05-24,99.93,101.110001,99.400002,100.639999,852500,100.639999
2016-05-23,100.32,100.32,99.459999,99.550003,447900,99.550003
2016-05-20,100.629997,101.080002,100.400002,100.610001,340800,100.610001
2016-05-19,99.57,99.870003,99.230003,99.610001,402600,99.610001
2016-05-18,100.599998,102.089996,100.529999,101.529999,374300,101.529999
2016-05-17,101.010002,101.360001,100.50,100.610001,305800,100.610001
2016-05-16,100.169998,101.120003,100.120003,100.82,322200,100.82
2016-05-13,100.239998,100.839996,99.690002,99.790001,371600,99.790001
2016-05-12,98.440002,101.989998,98.440002,101.379997,1043200,101.379997
2016-05-11,101.32,101.730003,98.019997,98.440002,1241800,98.440002
2016-05-10,104.150002,104.82,103.949997,104.82,483400,104.82
2016-05-09,103.459999,103.639999,102.330002,102.610001,360200,102.610001
2016-05-06,101.580002,102.080002,101.199997,101.959999,283100,101.959999
2016-05-05,101.260002,101.449997,100.669998,101.269997,377200,101.269997
2016-05-04,101.68,101.68,100.589996,100.620003,350500,100.620003
2016-05-03,101.669998,101.919998,100.599998,101.449997,315000,101.449997
2016-05-02,102.519997,102.730003,101.959999,102.470001,336900,102.470001
2016-04-29,102.690002,102.760002,101.419998,101.699997,496300,101.699997
2016-04-28,103.620003,104.660004,102.809998,102.959999,740300,102.959999
2016-04-27,105.75,106.639999,105.510002,106.370003,271100,106.370003
2016-04-26,107.349998,107.43,106.760002,107.32,252500,107.32
2016-04-25,107.519997,107.910004,106.699997,107.339996,307000,107.339996
2016-04-22,106.959999,107.57,106.669998,107.449997,473700,107.449997
2016-04-21,105.540001,105.860001,105.25,105.440002,310500,105.440002
2016-04-20,104.720001,105.330002,104.160004,104.849998,261300,104.849998
2016-04-19,105.099998,105.379997,104.449997,104.699997,252000,104.699997
2016-04-18,102.00,103.540001,102.00,103.360001,303000,103.360001
2016-04-15,104.510002,104.510002,103.489998,103.68,399300,103.68
2016-04-14,105.00,105.389999,104.790001,104.959999,406500,104.959999
2016-04-13,103.760002,104.309998,103.489998,104.260002,628900,104.260002
2016-04-12,101.230003,101.970001,101.019997,101.580002,523400,101.580002
2016-04-11,98.529999,99.089996,98.300003,98.43,990300,98.43
2016-04-08,100.699997,101.099998,100.400002,100.660004,517100,100.660004
2016-04-07,99.209999,99.25,97.800003,98.269997,547600,98.269997
2016-04-06,98.900002,99.620003,98.379997,99.510002,492300,99.510002
2016-04-05,98.230003,99.559998,98.110001,98.739998,1156400,98.739998
2016-04-04,101.660004,101.870003,100.910004,101.379997,993600,101.379997
2016-04-01,103.470001,104.029999,103.010002,103.540001,531800,103.540001
2016-03-31,106.410004,106.760002,106.120003,106.32,384500,106.32
2016-03-30,108.00,108.099998,107.449997,107.599998,323500,107.599998
2016-03-29,108.00,108.419998,107.339996,108.349998,345900,108.349998
2016-03-28,108.50,109.089996,108.089996,108.690002,450500,108.690002
2016-03-24,106.389999,106.389999,105.75,106.32,399800,106.32
2016-03-23,108.480003,108.989998,108.099998,108.099998,291100,108.099998
2016-03-22,108.110001,109.32,107.760002,108.599998,318600,108.599998
2016-03-21,106.410004,107.43,106.410004,107.139999,442100,107.139999
2016-03-18,106.279999,106.93,105.800003,106.599998,615500,106.599998
2016-03-17,106.889999,108.480003,106.440002,107.93,354700,107.93
2016-03-16,106.470001,107.769997,106.099998,107.540001,343000,107.540001
