Date,Open,High,Low,Close,Volume,Adj Close
2016-10-13,131.00,131.10,129.30,130.55,73800,130.55
2016-10-12,132.65,133.05,131.35,132.05,35400,132.05
2016-10-11,133.00,134.25,132.10,132.50,73900,132.50
2016-10-10,131.35,133.30,130.65,133.30,54300,133.30
2016-10-07,131.85,131.85,129.75,130.90,70700,130.90
2016-10-06,132.20,132.90,131.60,131.90,46400,131.90
2016-10-05,129.50,132.40,129.00,131.95,69900,131.95
2016-10-04,128.00,131.70,127.65,130.60,119900,130.60
2016-10-03,129.15,129.15,129.15,129.15,000,129.15
2016-09-30,125.85,129.15,123.65,129.15,110300,129.15
2016-09-29,127.80,129.10,126.15,126.50,47800,126.50
2016-09-28,124.50,126.95,124.50,126.35,51400,126.35
2016-09-27,127.80,127.85,122.55,123.95,159100,123.95
2016-09-26,128.60,129.00,126.25,126.60,82200,126.60
2016-09-23,130.10,130.95,129.00,129.05,65400,129.05
2016-09-22,129.20,131.45,129.20,130.45,62900,130.45
2016-09-21,128.65,129.85,127.65,128.30,58700,128.30
2016-09-20,128.75,129.80,127.60,127.60,70800,127.60
2016-09-19,128.60,129.35,127.70,128.75,55300,128.75
2016-09-16,129.40,130.30,126.85,126.85,107500,126.85
2016-09-15,129.10,130.90,128.60,130.05,46100,130.05
2016-09-14,130.50,131.50,128.75,129.80,43900,129.80
2016-09-13,131.00,132.10,130.00,130.30,58400,130.30
2016-09-12,129.70,130.90,128.40,130.85,60700,130.85
2016-09-09,131.15,133.55,130.80,131.70,66200,131.70
2016-09-08,133.05,133.90,130.70,132.15,65400,132.15
2016-09-07,132.30,133.85,131.50,133.40,58100,133.40
2016-09-06,132.00,133.05,130.90,131.35,41600,131.35
2016-09-05,131.20,132.55,130.25,131.50,43400,131.50
2016-09-02,130.50,131.80,127.70,131.80,78400,131.80
2016-09-01,131.20,133.00,129.05,129.70,68200,129.70
2016-08-31,131.00,132.30,130.45,130.45,73800,130.45
2016-08-30,129.70,131.60,128.90,130.85,40500,130.85
2016-08-29,130.00,130.95,127.80,128.40,35500,128.40
2016-08-26,127.70,130.75,127.70,130.35,66500,130.35
2016-08-25,129.00,129.00,126.95,127.55,49100,127.55
2016-08-24,130.40,130.85,128.90,129.65,40400,129.65
2016-08-23,129.00,131.00,128.00,129.95,62800,129.95
2016-08-22,127.00,130.10,126.65,127.65,46200,127.65
2016-08-19,128.40,128.40,126.75,127.90,44800,127.90
2016-08-18,129.90,129.90,127.55,128.70,40200,128.70
2016-08-17,131.10,131.35,128.35,128.40,38500,128.40
2016-08-16,133.00,133.50,130.55,130.55,52000,130.55
2016-08-15,132.70,134.75,132.55,133.90,33300,133.90
2016-08-12,134.45,134.45,131.70,132.50,56500,132.50
2016-08-11,134.05,134.90,133.10,134.60,51600,134.60
2016-08-10,132.75,134.60,132.45,133.55,74800,133.55
2016-08-09,130.70,133.85,130.25,133.85,47600,133.85
2016-08-08,131.85,133.45,130.45,131.15,46200,131.15
2016-08-05,128.75,131.95,128.75,131.55,48700,131.55
2016-08-04,128.40,131.05,127.85,128.70,53800,128.70
2016-08-03,126.00,127.50,124.35,126.55,72700,126.55
2016-08-02,131.90,132.20,126.85,127.15,59100,127.15
2016-08-01,134.00,134.65,131.15,132.00,52300,132.00
2016-07-29,131.40,132.85,131.25,132.65,73000,132.65
2016-07-28,136.70,136.70,130.90,130.90,76500,130.90
2016-07-27,134.15,137.50,134.15,136.75,138600,136.75
2016-07-26,132.05,133.40,131.40,132.85,62200,132.85
2016-07-25,130.20,132.65,129.65,131.70,63800,131.70
2016-07-22,130.10,131.65,129.55,130.10,43000,130.10
2016-07-21,131.60,133.20,130.75,130.90,132300,130.90
2016-07-20,127.20,134.60,126.20,131.30,179100,131.30
2016-07-19,126.65,128.10,125.35,127.40,78200,127.40
2016-07-18,128.05,130.20,126.90,127.50,58600,127.50
2016-07-15,127.50,128.20,125.50,127.55,58700,127.55
2016-07-14,126.10,129.40,126.10,127.65,65000,127.65
2016-07-13,127.00,128.70,125.15,125.25,77600,125.25
2016-07-12,123.95,128.40,123.95,127.35,105600,127.35
2016-07-11,123.20,125.30,122.20,123.55,75400,123.55
2016-07-08,117.60,122.65,117.30,121.70,97900,121.70
2016-07-07,118.85,121.35,116.85,116.85,101200,116.85
2016-07-06,118.90,119.45,116.05,118.10,142700,118.10
2016-07-05,121.50,121.65,118.60,119.05,115400,119.05
2016-07-04,126.50,127.25,120.45,121.65,111200,121.65
2016-07-01,122.40,126.65,121.50,126.00,125600,126.00
2016-06-30,120.80,121.50,117.90,120.40,186800,120.40
2016-06-29,126.90,126.95,119.75,120.10,240100,120.10
2016-06-28,123.90,126.30,122.15,123.20,182400,123.20
2016-06-27,128.30,128.95,119.75,120.10,217800,120.10
2016-06-24,119.00,129.40,116.90,127.60,374800,127.60
2016-06-23,131.75,134.95,130.65,134.95,94800,134.95
2016-06-22,133.00,133.80,130.60,130.60,92200,130.49
2016-06-21,134.30,134.60,132.00,132.00,74000,131.8888
2016-06-20,133.80,136.05,132.40,134.10,81500,133.9871
2016-06-17,127.50,129.45,127.35,129.20,119000,129.0912
2016-06-16,127.30,128.45,124.25,125.50,94700,125.3943
2016-06-15,129.00,130.15,126.70,128.75,86000,128.6416
2016-06-14,127.00,128.90,126.00,126.80,103800,126.6932
2016-06-13,130.45,131.40,127.45,128.65,85900,128.5416
2016-06-10,133.55,133.85,131.00,132.05,84300,131.9388
2016-06-09,137.55,137.55,132.85,133.75,88100,133.6373
2016-06-08,138.00,140.00,136.55,136.95,67700,136.8346
2016-06-07,138.10,140.35,138.00,139.40,90000,139.2826
2016-06-06,136.90,138.25,135.30,137.35,71400,137.2343
2016-06-03,140.95,141.40,134.95,134.95,96000,134.8363
2016-06-02,137.00,141.35,136.50,140.20,80800,140.0819
2016-06-01,139.00,139.95,136.10,137.15,101100,137.0345
2016-05-31,141.60,143.00,136.90,138.75,363800,138.6331
2016-05-30,139.70,142.60,139.70,141.35,110400,141.231
2016-05-27,139.20,140.35,137.55,140.05,87300,139.932
2016-05-26,139.00,140.30,138.00,139.50,85500,139.3825
2016-05-25,138.40,139.70,137.95,138.55,76300,138.4333
2016-05-24,135.00,137.80,133.55,137.05,92500,136.9346
2016-05-23,135.50,136.35,133.45,133.75,49600,133.6373
2016-05-20,136.60,136.65,134.40,135.50,43800,135.3859
2016-05-19,133.30,137.70,133.05,134.90,52400,134.7864
2016-05-18,131.80,134.90,131.50,134.65,80400,134.5366
2016-05-17,136.00,138.00,132.00,132.50,90800,132.3884
2016-05-16,136.15,136.15,136.15,136.15,000,136.0353
2016-05-13,135.15,136.75,132.85,136.15,73000,136.0353
2016-05-12,136.95,138.15,134.90,135.50,62300,135.3859
2016-05-11,138.15,139.55,135.55,138.40,79600,138.2834
2016-05-10,136.05,140.25,135.50,139.55,95300,139.4325
2016-05-09,135.00,136.90,132.85,134.20,103700,134.087
2016-05-06,129.95,133.50,128.25,131.90,86000,131.7889
2016-05-05,131.50,132.40,128.70,130.15,65900,130.0404
